ID,Ano,Faixa-Etária,Gênero,Como você se identifica,Estado,Região,Escolaridade,Área de Formação,Você está trabalhando?,Setor,Cargo como Gestor,Cargo Atual,Nivel,Média Salarial,Tempo de experiência na área de dados
ID001,2022,35-39,Masculino,Parda,DF,Centro-oeste,Pós-graduação,Tecnologia,Sim,Setor Público,Não,DBA,Júnior,10000,1 a 2 anos
ID002,2022,30-34,Masculino,Parda,PA,Norte,Graduação,Engenharia,Sim,Outra Opção,Sim,Supervisor,Não Declarou,5000,3 a 4 anos
ID003,2022,50-54,Masculino,Branca,DF,Centro-oeste,Pós-graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Desenvolvedor Web,Pleno,14000,3 a 4 anos
ID004,2022,25-29,Masculino,Branca,MG,Sudeste,Doutorado ou Phd,Estatística,Sim,Setor Automotivo,Não,Cientista de Dados,Sênior,14000,4 a 6 anos
ID005,2022,17-21,Masculino,Parda,SP,Sudeste,Estudante de Graduação,Estatística,Sim,Finanças ou Bancos,Não,Analista de BI,Júnior,5000,1 a 2 anos
ID006,2022,30-34,Feminino,Branca,RS,Sul,Graduação,Ciências Sociais,Sim,Tecnologia,Não,Desenvolvedor Web,Júnior,2500,Menos 1 ano
ID007,2022,30-34,Masculino,Branca,SP,Sudeste,Pós-graduação,Economia,Sim,Tecnologia,Não,Analista de BI,Sênior,7000,Menos 1 ano
ID008,2022,25-29,Feminino,Parda,RJ,Sudeste,Estudante de Graduação,Economia,Sim,Varejo,Não,Analista de BI,Júnior,3500,Menos 1 ano
ID009,2022,30-34,Masculino,Branca,RS,Sul,Pós-graduação,Economia,Sim,Educação,Não,Analista de Inteligência de Mercado,Sênior,10000,1 a 2 anos
ID010,2022,35-39,Feminino,Parda,SP,Sudeste,Graduação,Comunicação,Sim,Varejo,Não,Analista de Negócios,Pleno,7000,1 a 2 anos
ID011,2022,25-29,Masculino,Branca,SP,Sudeste,Graduação,Engenharia,Sim,Varejo,Não,Analista de BI,Pleno,5000,3 a 4 anos
ID012,2022,30-34,Masculino,Parda,PB,Nordeste,Doutorado ou Phd,Estatística,Sim,Tecnologia,Sim,Supervisor,Não Declarou,14000,1 a 2 anos
ID013,2022,25-29,Masculino,Branca,MT,Centro-oeste,Mestrado,Estatística,Sim,Setor Público,Sim,Tech Leader,Não Declarou,14000,7 a 10 anos
ID014,2022,25-29,Masculino,Branca,MG,Sudeste,Graduação,Engenharia,Sim,Finanças ou Bancos,Não,Engenheiro de Dados,Pleno,7000,Menos 1 ano
ID015,2022,25-29,Feminino,Branca,SP,Sudeste,Graduação,Economia,Sim,Finanças ou Bancos,Não,Analista de Dados,Pleno,10000,3 a 4 anos
ID016,2022,35-39,Masculino,Branca,SP,Sudeste,Pós-graduação,Engenharia,Sim,Área da Saúde,Sim,Gerente,Não Declarou,22500,4 a 6 anos
ID017,2022,30-34,Masculino,Branca,SP,Sudeste,Graduação,Economia,Sim,Outra Opção,Sim,Supervisor,Não Declarou,10000,7 a 10 anos
ID018,2022,25-29,Masculino,Branca,PR,Sul,Graduação,Tecnologia,Sim,Setor Farmaceutico,Não,Data Product Manager,Pleno,7000,1 a 2 anos
ID019,2022,45-49,Feminino,Branca,RJ,Sudeste,Pós-graduação,Tecnologia,Sim,Tecnologia,Não,Engenheiro de Dados,Sênior,14000,Mais 10 anos
ID020,2022,30-34,Masculino,Parda,SP,Sudeste,Pós-graduação,Estatística,Sim,Tecnologia,Sim,Supervisor,Não Declarou,18000,Mais 10 anos
ID021,2022,25-29,Feminino,Parda,MG,Sudeste,Graduação,Estatística,Sim,Finanças ou Bancos,Não,Cientista de Dados,Pleno,10000,3 a 4 anos
ID022,2022,25-29,Feminino,Preta,ES,Sudeste,Graduação,Tecnologia,Sim,Setor de Energia,Não,Desenvolvedor Web,Júnior,3500,1 a 2 anos
ID023,2022,25-29,Masculino,Branca,SP,Sudeste,Graduação,Economia,Sim,Varejo,Não,Cientista de Dados,Júnior,10000,1 a 2 anos
ID024,2022,25-29,Masculino,Parda,MG,Sudeste,Estudante de Graduação,Estatística,Sim,Finanças ou Bancos,Não,Analista de Dados,Júnior,3500,1 a 2 anos
ID025,2022,25-29,Masculino,Parda,PR,Sul,Pós-graduação,Engenharia,Sim,Área da Saúde,Não,Engenheiro de Dados,Júnior,2500,Menos 1 ano
ID026,2022,25-29,Masculino,Preta,MG,Sudeste,Graduação,Economia,Sim,Tecnologia,Não,Analista de BI,Júnior,3500,Menos 1 ano
ID027,2022,30-34,Masculino,Branca,SP,Sudeste,Pós-graduação,Economia,Sim,Finanças ou Bancos,Não,Desenvolvedor Web,Pleno,10000,4 a 6 anos
ID028,2022,25-29,Masculino,Branca,PR,Sul,Estudante de Graduação,Engenharia,Sim,Marketing,Não,Analista de BI,Júnior,1500,Menos 1 ano
ID029,2022,25-29,Masculino,Branca,SP,Sudeste,Pós-graduação,Economia,Sim,Seguros ou Previdência,Não,Analista de Negócios,Pleno,3500,Menos 1 ano
ID030,2022,25-29,Masculino,Branca,RS,Sul,Graduação,Tecnologia,Sim,Tecnologia,Não,Engenheiro de Dados,Júnior,2500,1 a 2 anos
ID031,2022,30-34,Masculino,Preta,RS,Sul,Pós-graduação,Economia,Sim,Área da Saúde,Não,Cientista de Dados,Pleno,7000,1 a 2 anos
ID032,2022,40-44,Feminino,Parda,BA,Nordeste,Pós-graduação,Estatística,Sim,Setor Público,Não,Analista de Suporte,Pleno,3500,7 a 10 anos
ID033,2022,25-29,Masculino,Branca,RJ,Sudeste,Graduação,Tecnologia,Sim,Varejo,Não,Engenheiro de Dados,Júnior,5000,3 a 4 anos
ID034,2022,35-39,Masculino,Parda,RS,Sul,Pós-graduação,Economia,Sim,Indústria,Sim,Supervisor,Não Declarou,5000,Mais 10 anos
ID035,2022,30-34,Masculino,Branca,SP,Sudeste,Graduação,Tecnologia,Sim,Setor Imobiliário,Sim,Tech Leader,Não Declarou,22500,7 a 10 anos
ID036,2022,25-29,Masculino,Branca,DF,Centro-oeste,Graduação,Tecnologia,Sim,Setor Público,Não,Cientista de Dados,Sênior,7000,4 a 6 anos
ID037,2022,22-24,Masculino,Preta,SP,Sudeste,Estudante de Graduação,Ciência da Natureza,Sim,Marketing,Não,Analista de Dados,Júnior,1500,Menos 1 ano
ID038,2022,45-49,Masculino,Branca,PR,Sul,Graduação,Economia,Sim,Outra Opção,Sim,Supervisor,Não Declarou,14000,3 a 4 anos
ID039,2022,25-29,Masculino,Branca,MG,Sudeste,Graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Engenheiro de Dados,Sênior,10000,3 a 4 anos
ID040,2022,30-34,Feminino,Branca,PB,Nordeste,Graduação,Saúde,Sim,Agronegócios,Não,Cientista de Dados,Júnior,3500,1 a 2 anos
ID042,2022,25-29,Masculino,Branca,MS,Centro-oeste,Mestrado,Tecnologia,Sim,Finanças ou Bancos,Não,Engenheiro de Machine Learning,Pleno,10000,3 a 4 anos
ID043,2022,40-44,Masculino,Branca,PB,Nordeste,Pós-graduação,Engenharia,Sim,Área de Consultoria,Não,Engenheiro de Dados,Pleno,10000,1 a 2 anos
